ticket_id,category,urgency,confidence,assigned_team,human_review_required,estimated_sla_hours,reason,recommended_action,extracted_keywords
T001,Billing & Payments,High,0.96,Billing & Payments Team,False,6,"Detected Billing & Payments domain indicators ('card', 'charged', 'credit', 'double charged'). Classification confidence: 96%.","Review customer payment ledger, verify duplicate charge/invoice, and issue refund/receipt.","card, charged, credit, double charged, invoice, refund, subscription"
T002,Technical Support,High,0.96,Technical Support (Tier 2/3),False,3,"Detected Technical Support domain indicators ('500', 'api', 'error', 'server'). Classification confidence: 96%.","Inspect system telemetry/error logs, reproduce failure, and escalate to on-call engineering.","500, api, error, server"
T003,Account & Access,High,0.91,Identity & Access Management,False,6,"Detected Account & Access domain indicators ('locked', 'password'). Classification confidence: 90%.",Verify customer identity via secondary channel and provide secure password/MFA reset link.,"locked, password"
T004,Security & Fraud,Medium,0.62,Human Review Queue (Uncertain Triage),True,12,Multi-intent detected between 'Security & Fraud' and 'Account & Access'. Low score margin (3.5 vs 2.5).,Human triage required to disambiguate primary intent between Security & Fraud and Account & Access.,"login, security, suspicious"
T005,Orders & Delivery,Medium,0.96,Orders & Fulfillment Team,False,24,"Detected Orders & Delivery domain indicators ('courier', 'delivered', 'order', 'package'). Classification confidence: 96%.","Check courier tracking API status, confirm shipping address, and initiate courier tracer.","courier, delivered, order, package"
T006,Product & Features,Low,0.91,Product Experience Team,False,48,Detected Product & Features domain indicators ('dark mode'). Classification confidence: 90%.,Log feature request in product backlog and share current product roadmap with customer.,dark mode
T007,General Inquiry,Low,0.52,Human Review Queue (Uncertain Triage),True,48,Ticket lacks sufficient domain-specific context or technical detail. Routed to human triage queue.,Request clarification from customer regarding specific issue details and error messages.,"hello, inquiry"
T008,Billing & Payments,High,0.87,Billing & Payments Team,False,6,"Detected Billing & Payments domain indicators ('bank', 'debited', 'deducted', 'failed'). Classification confidence: 87%.","Review customer payment ledger, verify duplicate charge/invoice, and issue refund/receipt.","bank, debited, deducted, failed, money, order, payment, upi"
T009,Technical Support,Critical,0.96,Technical Support (Tier 2/3),False,1,"Detected Technical Support domain indicators ('connection pool', 'database', 'postgres', 'timeout'). Classification confidence: 96%.","Inspect system telemetry/error logs, reproduce failure, and escalate to on-call engineering.","connection pool, database, postgres, timeout"
T010,General Inquiry,Low,0.52,Human Review Queue (Uncertain Triage),True,48,Ticket lacks sufficient domain-specific context or technical detail. Routed to human triage queue.,Request clarification from customer regarding specific issue details and error messages.,
